x,y,signallevel
71.06281280517578,51.56001281738281,90 
71.2948989868164,52.82984924316406,72 
71.26911926269531,53.39116668701172,72 
71.27393341064453,54.769718170166016,73 
71.27938842773438,55.434906005859375,75 
71.28797149658203,56.916202545166016,71 
71.42131042480469,57.60624694824219,78 
71.30464935302734,58.04374694824219,78 
71.22531127929688,58.124122619628906,73 
70.83018493652344,58.106964111328125,78 
70.30899810791016,58.117374420166016,81 
70.19725799560547,58.116783142089844,77 
70.10172271728516,57.89944839477539,76 
70.45643615722656,56.75798797607422,80 
71.2102279663086,55.8092041015625,68 
71.67182922363281,54.486732482910156,66 
71.68399047851562,53.024295806884766,66 
71.18942260742188,51.74451446533203,71 
70.6210708618164,50.5650520324707,67 
69.84941864013672,49.37456512451172,76 
68.88069152832031,49.11837387084961,74 
67.3368148803711,49.114898681640625,78 
63.77021408081055,49.138755798339844,80 
62.680809020996094,49.12213134765625,88 
61.14625549316406,49.12162780761719,85 
59.666175842285156,49.116153717041016,85 
58.312110900878906,48.537288665771484,85 
57.53718948364258,47.777896881103516,85 
57.726707458496094,46.83396530151367,85 
58.42113494873047,46.39632034301758,84 
58.618690490722656,46.39798355102539,85 
58.86544418334961,46.33416748046875,78 
59.43110656738281,46.345298767089844,82 
59.58399200439453,46.34379959106445,83 
59.58399200439453,46.34379959106445,84 
59.49406814575195,46.252899169921875,80 
59.48151779174805,46.25331497192383,83 
58.30278015136719,46.25620651245117,83 
57.57269287109375,45.82402420043945,83 
57.37519836425781,45.21892547607422,84 
57.37505340576172,45.219608306884766,84 
57.37505340576172,45.219608306884766,84 
57.37505340576172,45.219608306884766,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,87 
57.406761169433594,44.97596740722656,86 
57.406761169433594,44.97596740722656,86 
57.406761169433594,44.97596740722656,86 
57.40824508666992,45.35689163208008,86 
57.506622314453125,46.948604583740234,86 
60.21184539794922,48.74845886230469,86 
60.20137405395508,48.748233795166016,83 
59.96221160888672,46.37731170654297,80 
59.2153434753418,46.36296463012695,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
59.291259765625,46.373348236083984,80 
57.776275634765625,46.88233947753906,80 
55.09172821044922,48.261234283447266,80 
52.27008819580078,48.32299041748047,80 
50.741756439208984,48.2714729309082,80 
48.32754135131836,48.264076232910156,80 
47.53034973144531,48.26362991333008,80 
46.13534164428711,48.282596588134766,80 
44.576438903808594,48.27733612060547,80 
42.89225387573242,48.26317596435547,80 
33.90480422973633,45.02597427368164,80 
33.285057067871094,44.78260040283203,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
32.49346923828125,44.81718826293945,80 
35.030818939208984,52.1340446472168,83 
35.030818939208984,52.1340446472168,83 
35.030818939208984,52.1340446472168,84 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,87 
35.030818939208984,52.1340446472168,85 
35.030818939208984,52.1340446472168,83 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,85 
35.030818939208984,52.1340446472168,83 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,83 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,84 
35.030818939208984,52.1340446472168,83 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,84 
35.030818939208984,52.1340446472168,84 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,83 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,79 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,81 
35.030818939208984,52.1340446472168,80 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,82 
35.030818939208984,52.1340446472168,79 
35.030818939208984,52.1340446472168,79 
35.030818939208984,52.1340446472168,78 
35.030818939208984,52.1340446472168,78 
35.030818939208984,52.1340446472168,78 
35.030818939208984,52.1340446472168,77 
35.030818939208984,52.1340446472168,77 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
35.030818939208984,52.134002685546875,79 
